Timestamp,Data
9/5/2025 20:11,Voice Command: ON
9/5/2025 20:11,Voice Command: ON
9/5/2025 20:11,Voice Command: OFF
9/5/2025 20:11,Voice Command: ON
9/5/2025 20:11,Voice Command: ON
9/5/2025 20:11,Voice Command: OFF
9/5/2025 20:11,Voice Command: ON
9/5/2025 20:12,Object Detected
9/5/2025 20:12,Temperature: 18 °C
9/5/2025 20:11,Voice Command: ON
9/5/2025 20:11,Voice Command: OFF
9/5/2025 20:11,Voice Command: OFF
9/5/2025 20:11,Voice Command: ON
9/5/2025 20:11,Voice Command: OFF
9/5/2025 20:11,Voice Command: ON
9/5/2025 20:11,Voice Command: OFF
9/5/2025 20:11,Voice Command: ON
9/5/2025 20:11,Voice Command: ON
9/5/2025 20:11,Voice Command: OFF
9/5/2025 20:11,Voice Command: ON
9/5/2025 20:11,Voice Command: ON
9/5/2025 20:11,Voice Command: OFF
9/5/2025 20:11,Voice Command: ON
9/5/2025 20:12,Object Detected
9/5/2025 20:12,Temperature: 18 °C
9/5/2025 20:12,Light Intensity: 76
9/5/2025 20:14,Voice Command: ON
9/5/2025 20:14,Voice Command: ON
9/5/2025 20:15,Voice Command: OFF
9/5/2025 21:03,Voice Command: ON
9/5/2025 21:03,Voice Command: ON
9/5/2025 21:03,Voice Command: ON
9/5/2025 21:03,Voice Command: ON
9/5/2025 21:03,Voice Command: ON
9/5/2025 21:03,Voice Command: ON
9/5/2025 21:03,Voice Command: ON
9/5/2025 21:03,Voice Command: ON
9/5/2025 21:03,Voice Command: ON
9/5/2025 21:03,Voice Command: ON
9/5/2025 21:03,Voice Command: ON
9/5/2025 21:03,Voice Command: ON
9/5/2025 21:03,Voice Command: ON
9/5/2025 21:03,Voice Command: ON
9/5/2025 21:03,Voice Command: ON
9/5/2025 21:03,Voice Command: ON
9/5/2025 21:03,Voice Command: ON
9/5/2025 21:03,Voice Command: ON
9/5/2025 21:03,Voice Command: ON
9/5/2025 21:03,Voice Command: ON
9/5/2025 21:03,Voice Command: OFF
9/5/2025 21:08,Voice Command: ON
9/5/2025 21:08,Voice Command: ON
9/5/2025 21:08,Voice Command: OFF
9/5/2025 21:11,Voice Command: ON
9/5/2025 21:11,Voice Command: OFF
2025-09-06 15:56:33,Requested Temperature
2025-09-06 15:56:35,Requested Light
2025-09-06 15:56:42,Voice Command: ON
2025-09-06 15:56:47,Voice Command: OFF
2025-09-06 15:58:02,Requested Temperature
2025-09-06 15:58:03,Requested Light
2025-09-06 16:03:56,Voice Command: ON
2025-09-06 16:04:00,Voice Command: OFF
2025-09-06 16:04:10,Object Detected
2025-09-06 16:38:51,Object Detected
2025-09-06 16:39:13,Voice Command: ON
